"DISTRICT","Grad.w.Diploma.in.4.years.2007.KDE","Grad.w.Diploma.in.4.years.2008.KDE","Grad.w.Diploma.in.4.years.2009.KDE","Grad.w.Diploma.in.4.years.2010.KDE","Grad.w.Diploma.in.4.years.2011.KDE"
"1","Adair County","161","184","167","181","149"
"2","Allen County","187","230","192","209","212"
"3","Anderson County","263","289","271","285","269"
"4","Ashland Independent","188","232","209","208","225"
"5","Augusta Independent","25","29","26","27","29"
"6","Ballard County","87","106","90","98","96"
"7","Barbourville Independent","52","46","32","46","53"
"8","Bardstown Independent","111","111","109","113","134"
"9","Barren County","314","246","278","286","316"
"10","Bath County","109","149","120","123","124"
"11","Beechwood Independent","83","72","74","81","101"
"12","Bell County","157","174","177","184","165"
"13","Bellevue Independent","56","52","58","56","49"
"14","Berea Independent","68","67","60","73","68"
"15","Boone County","1023","1072","1110","1162","1080"
"16","Bourbon County","178","188","165","180","184"
"17","Bowling Green Independent","250","233","234","211","259"
"18","Boyd County","230","220","197","227","194"
"19","Boyle County","171","199","227","177","214"
"20","Bracken County","71","65","89","87","66"
"21","Breathitt County","124","134","153","132","176"
"22","Breckinridge County","177","193","198","200","199"
"23","Bullitt County","744","756","804","795","819"
"24","Burgin Independent","34","31","33","35","36"
"25","Butler County","145","159","131","114","136"
"26","Caldwell County","135","138","137","128","150"
"27","Calloway County","215","214","200","235","234"
"28","Campbell County","325","311","328","333","340"
"29","Campbellsville Independent","57","76","60","57","55"
"30","Carlisle County","64","51","59","65","49"
"31","Carroll County","116","114","129","124","102"
"32","Carter County","341","302","302","344","306"
"33","Casey County","147","133","154","169","179"
"34","Caverna Independent","40","43","42","50","45"
"35","Christian County","496","472","508","555","520"
"36","Clark County","302","338","340","351","388"
"37","Clay County","187","208","210","189","180"
"38","Clinton County","82","97","94","96","102"
"39","Cloverport Independent","19","16","16","20","21"
"40","Corbin Independent","147","168","188","178","154"
"41","Covington Independent","154","165","143","161","159"
"42","Crittenden County","88","78","86","110","85"
"43","Cumberland County","85","68","63","71","64"
"44","Danville Independent","119","120","106","110","99"
"45","Daviess County","786","784","731","709","738"
"46","Dawson Springs Independent","45","26","37","44","47"
"47","Dayton Independent","62","44","57","42","50"
"48","Edmonson County","140","118","132","129","150"
"49","Elizabethtown Independent","137","161","142","161","167"
"50","Elliott County","61","68","66","73","71"
"51","Eminence Independent","34","31","52","24","30"
"52","Erlanger-Elsmere Independent","120","148","90","142","127"
"53","Estill County","136","152","160","151","161"
"54","Fairview Independent","61","76","66","70","81"
"55","Fayette County","1903","2053","2076","2246","2201"
"56","Fleming County","140","137","156","171","153"
"57","Floyd County","411","439","381","416","406"
"58","Fort Thomas Independent","203","195","190","182","164"
"59","Frankfort Independent","72","62","69","65","51"
"60","Franklin County","334","410","431","410","368"
"61","Fulton County","50","56","48","31","37"
"62","Fulton Independent","36","23","30","21","29"
"63","Gallatin County","100","94","83","102","107"
"64","Garrard County","151","160","148","154","182"
"65","Glasgow Independent","109","126","116","134","142"
"66","Grant County","207","236","234","243","243"
"67","Graves County","308","305","341","285","303"
"68","Grayson County","274","254","283","296","274"
"69","Green County","110","122","114","116","150"
"70","Greenup County","185","205","218","214","220"
"71","Hancock County","119","122","95","119","108"
"72","Hardin County","1016","993","950","1017","1016"
"73","Harlan County","272","262","233","249","217"
"74","Harlan Independent","43","51","54","47","45"
"75","Harrison County","209","217","199","221","186"
"76","Hart County","149","151","186","154","187"
"77","Hazard Independent","63","81","68","60","73"
"78","Henderson County","457","460","472","468","430"
"79","Henry County","133","147","132","140","141"
"80","Hickman County","46","55","43","53","50"
"81","Hopkins County","459","446","452","438","417"
"82","Jackson County","149","138","152","114","128"
"83","Jackson Independent","33","25","30","24","19"
"84","Jefferson County","5209","5284","5485","5443","5447"
"85","Jenkins Independent","37","45","39","30","43"
"86","Jessamine County","419","423","459","427","437"
"87","Johnson County","247","232","240","237","263"
"88","Kenton County","814","853","871","896","940"
"89","Knott County","149","142","160","183","142"
"90","Knox County","250","260","251","286","255"
"91","LaRue County","161","189","172","167","175"
"92","Laurel County","516","528","550","524","481"
"93","Lawrence County","163","135","138","174","158"
"94","Lee County","73","75","79","49","71"
"95","Leslie County","115","103","106","115","101"
"96","Letcher County","193","198","170","193","205"
"97","Lewis County","152","164","175","149","169"
"98","Lincoln County","247","252","243","279","264"
"99","Livingston County","94","120","95","85","105"
"100","Logan County","254","236","249","254","257"
"101","Ludlow Independent","62","78","73","58","70"
"102","Lyon County","76","85","83","73","68"
"103","Madison County","613","625","658","685","652"
"104","Magoffin County","138","163","134","139","125"
"105","Marion County","195","197","212","210","228"
"106","Marshall County","332","317","303","312","299"
"107","Martin County","115","148","121","149","142"
"108","Mason County","179","182","171","185","183"
"109","Mayfield Independent","91","99","90","89","80"
"110","McCracken County","447","413","422","465","425"
"111","McCreary County","193","187","203","224","207"
"112","McLean County","108","104","106","110","95"
"113","Meade County","330","341","396","391","347"
"114","Menifee County","81","65","68","77","91"
"115","Mercer County","228","218","226","227","247"
"116","Metcalfe County","104","98","130","137","110"
"117","Middlesboro Independent","111","111","97","89","102"
"118","Monroe County","103","147","136","164","136"
"119","Montgomery County","246","249","254","285","270"
"120","Monticello Independent","51","53","53","57","72"
"121","Morgan County","129","144","135","131","130"
"122","Muhlenberg County","354","315","316","351","318"
"123","Murray Independent","97","121","108","103","108"
"124","Nelson County","367","381","391","361","301"
"125","Newport Independent","86","96","106","101","97"
"126","Nicholas County","74","83","89","60","74"
"127","Ohio County","225","259","253","233","262"
"128","Oldham County","725","776","778","791","821"
"129","Owen County","126","132","101","115","121"
"130","Owensboro Independent","218","228","231","214","205"
"131","Owsley County","64","46","58","45","67"
"132","Paducah Independent","167","187","181","143","186"
"133","Paintsville Independent","46","54","41","46","53"
"134","Paris Independent","43","40","43","44","41"
"135","Pendleton County","182","183","201","209","196"
"136","Perry County","263","252","262","251","253"
"137","Pike County","590","613","685","673","698"
"138","Pikeville Independent","84","74","80","85","79"
"139","Pineville Independent","37","45","52","46","39"
"140","Powell County","146","148","146","154","169"
"141","Pulaski County","538","550","517","563","489"
"142","Raceland Independent","66","72","77","62","76"
"143","Robertson County","25","32","29","34","32"
"144","Rockcastle County","206","211","205","198","187"
"145","Rowan County","203","217","224","184","194"
"146","Russell County","181","190","207","174","176"
"147","Russell Independent","177","151","147","158","140"
"148","Russellville Independent","82","62","90","68","63"
"149","Scott County","394","376","492","473","466"
"150","Shelby County","346","350","417","411","418"
"151","Silver Grove Independent","19","14","14","23","12"
"152","Simpson County","200","186","194","216","218"
"153","Somerset Independent","106","108","108","101","114"
"154","Spencer County","158","170","187","188","178"
"155","Taylor County","197","204","202","187","207"
"156","Todd County","140","136","133","137","117"
"157","Trigg County","134","171","139","144","139"
"158","Trimble County","110","83","91","86","73"
"159","Union County","161","157","150","156","120"
"160","Walton Verona Independent","84","85","96","105","106"
"161","Warren County","821","821","861","843","910"
"162","Washington County","135","134","121","142","140"
"163","Wayne County","151","169","148","181","150"
"164","Webster County","120","163","142","149","117"
"165","Whitley County","236","258","285","272","266"
"166","Williamsburg Independent","53","65","60","53","62"
"167","Williamstown Independent","54","42","58","55","53"
"168","Wolfe County","88","69","106","86","91"
"169","Woodford County","282","295","285","285","298"
